wikipedia_title,wikipedia_url,question_original,question,question_type,answer,evidence,evidence_section_id,evidence_section_title,dataset_name,dataset_category_id,wikipedia_url_used_in_train,encyclopedic_vqa_split,dataset_image_ids
Smilax bona-nox,https://en.wikipedia.org/wiki/Smilax_bona-nox,What kind of medical usage has this plant?,What kind of medical usage has this plant?,templated,"help urinary tract infections and as an antioxidant.|help urinary tract infections and as an antioxidant.|urinary tract infections, antioxidant",The roots of this plant are known to help urinary tract infections and as an antioxidant.|The roots of this plant are known to help urinary tract infections and as an antioxidant.|The roots of this plant are known to help urinary tract infections and as an antioxidant.,4,Ethnobotany|Ethnobotany|Ethnobotany,inaturalist,6214,True,test,2715027
Cornus suecica,https://en.wikipedia.org/wiki/Cornus_suecica,In which country or region does this plant grow?,In which country or region does this plant grow?,templated,"Europe, Asia and North America|Europe ,Asia ,North America|Europe and Asia","native to cool temperate and subarctic regions of Europe and Asia, and also locally in extreme northeastern and northwestern North America.|bunchberry, is a species of flowering plant in the dogwood family Cornaceae, native to cool temperate and subarctic regions of Europe and Asia, and also locally in extreme northeastern and northwestern North America.|species of flowering plant in the dogwood family Cornaceae, native to cool temperate and subarctic regions of Europe and Asia",0,Cornus suecica|Cornus suecica|Cornus suecica,inaturalist,7605,False,test,2717719
Cornus suecica,https://en.wikipedia.org/wiki/Cornus_suecica,How big can this plant become?,How big can this plant become?,templated,20 cm | 20 cm |20 cm,Dwarf cornel is a rhizomatous herbaceous perennial growing to 20 cm (8 inches) tall|Dwarf cornel is a rhizomatous herbaceous perennial growing to 20 cm (8 inches) tall|Dwarf cornel is a rhizomatous herbaceous perennial growing to 20 cm (8 inches) tall,1,Description|Description|Description,inaturalist,7605,False,test,2774841
Cornus suecica,https://en.wikipedia.org/wiki/Cornus_suecica,How do the of this plant seeds spread?,How do the of this plant seeds spread?,templated, by cross-pollination|cross-pollination,"they can hybridize by cross-pollination|they can hybridize by cross-pollination, producing plants with intermediate characteristics.",2,Habitat and range|Habitat and range,inaturalist,7605,False,test,2774841
Echinochloa crus-galli,https://en.wikipedia.org/wiki/Echinochloa_crus-galli,What kind of medical usage has this plant?,What kind of medical usage has this plant?,templated,"carbuncles, hemorrhages, sores, spleen trouble, cancer and wounds.|lowers blood sugar and cholesterol| cure indigestion","barnyard grass is a folk remedy in India for carbuncles, haemorrhages, sores, spleen trouble, cancer and wounds.|Rural Development Administration of South Korean government discovered barnyard grass effectively lowers blood sugar and cholesterol when consumed|The roots are boiled to cure indigestion in the Philippines.",4,Usage|Usage|Usage,inaturalist,6368,True,test,2780618
Cardisoma guanhumi,https://en.wikipedia.org/wiki/Cardisoma_guanhumi,How long does this animal take care of its children?,How long does this animal take care of its children?,templated,approximately 2 weeks|approximately 2 weeks,After approximately 2 weeks the eggs will hatch and must be released into saltwater for the larvae to survive.|After approximately 2 weeks the eggs will hatch and must be released into saltwater for the larvae to survive.,5,Life cycle|Life cycle,inaturalist,2713,True,test,2768002
Patiriella regularis,https://en.wikipedia.org/wiki/Patiriella_regularis,In which part of the world does this animal live?,In which part of the world does this animal live?,templated,New Zealand|New Zealand|New Zealand common cushion star,"Patiriella regularis, or New Zealand common cushion star, is a sea star of the family Asterinidae, native to New Zealand|Patiriella regularis, or New Zealand common cushion star, is a sea star of the family Asterinidae, native to New Zealand|is a sea star of the family Asterinidae, native to New Zealand.",0,Patiriella regularis|Patiriella regularis|Patiriella regularis,inaturalist,5206,True,test,2735662
Patiriella regularis,https://en.wikipedia.org/wiki/Patiriella_regularis,How long does this animal take care of its children?,How long does this animal take care of its children?,templated, 9–10 weeks,"Once fertilised, 9–10 weeks are needed for them to grow from larvae.",0,Patiriella regularis,inaturalist,5206,True,test,2718803
Henricia leviuscula,https://en.wikipedia.org/wiki/Henricia_leviuscula,What is the common name for this animal?,What is the common name for this animal?,templated,Pacific blood star|Pacific blood star|Pacific blood star,"Henricia leviuscula, commonly called the Pacific blood star,|Henricia leviuscula, commonly called the Pacific blood star|Henricia leviuscula, commonly called the Pacific blood star,",0,Henricia leviuscula|Henricia leviuscula|Henricia leviuscula,inaturalist,5204,False,test,2687235
Henricia leviuscula,https://en.wikipedia.org/wiki/Henricia_leviuscula,In which part of the world does this animal live?,In which part of the world does this animal live?,templated,North America|Pacific coast of North America|North America.,"Henricia leviuscula, commonly called the Pacific blood star, it is a species of sea star found along the Pacific coast of North America.|it is a species of sea star found along the Pacific coast of North America|it is a species of sea star found along the Pacific coast of North America.",0,Henricia leviuscula|Henricia leviuscula|Henricia leviuscula,inaturalist,5204,False,test,2778308
